instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,time_group,temp_group
1,2011-01-01,Spring,2011,January,0,0,Saturday,0,1,9.84,14.395,81.0,0.0,3,13,16,Evening,Cold
2,2011-01-01,Spring,2011,January,1,0,Saturday,0,1,9.02,13.635,80.0,0.0,8,32,40,Evening,Cold
3,2011-01-01,Spring,2011,January,2,0,Saturday,0,1,9.02,13.635,80.0,0.0,5,27,32,Evening,Cold
4,2011-01-01,Spring,2011,January,3,0,Saturday,0,1,9.84,14.395,75.0,0.0,3,10,13,Evening,Cold
5,2011-01-01,Spring,2011,January,4,0,Saturday,0,1,9.84,14.395,75.0,0.0,0,1,1,Evening,Cold
6,2011-01-01,Spring,2011,January,5,0,Saturday,0,2,9.84,12.879999999999999,75.0,6.0032,0,1,1,Morning,Cold
7,2011-01-01,Spring,2011,January,6,0,Saturday,0,1,9.02,13.635,80.0,0.0,2,0,2,Morning,Cold
8,2011-01-01,Spring,2011,January,7,0,Saturday,0,1,8.200000000000001,12.879999999999999,86.0,0.0,1,2,3,Morning,Cold
9,2011-01-01,Spring,2011,January,8,0,Saturday,0,1,9.84,14.395,75.0,0.0,1,7,8,Morning,Cold
10,2011-01-01,Spring,2011,January,9,0,Saturday,0,1,13.120000000000001,17.424999999999997,76.0,0.0,8,6,14,Morning,Chilly
11,2011-01-01,Spring,2011,January,10,0,Saturday,0,1,15.58,19.695,76.0,16.997899999999998,12,24,36,Morning,Chilly
12,2011-01-01,Spring,2011,January,11,0,Saturday,0,1,14.76,16.665,81.0,19.0012,26,30,56,Afternoon,Chilly
13,2011-01-01,Spring,2011,January,12,0,Saturday,0,1,17.22,21.21,77.0,19.0012,29,55,84,Afternoon,Chilly
14,2011-01-01,Spring,2011,January,13,0,Saturday,0,2,18.86,22.725,72.0,19.999499999999998,47,47,94,Afternoon,Warm
15,2011-01-01,Spring,2011,January,14,0,Saturday,0,2,18.86,22.725,72.0,19.0012,35,71,106,Afternoon,Warm
16,2011-01-01,Spring,2011,January,15,0,Saturday,0,2,18.04,21.97,77.0,19.999499999999998,40,70,110,Afternoon,Warm
17,2011-01-01,Spring,2011,January,16,0,Saturday,0,2,17.22,21.21,82.0,19.999499999999998,41,52,93,Afternoon,Chilly
18,2011-01-01,Spring,2011,January,17,0,Saturday,0,2,18.04,21.97,82.0,19.0012,15,52,67,Afternoon,Warm
19,2011-01-01,Spring,2011,January,18,0,Saturday,0,3,17.22,21.21,88.0,16.997899999999998,9,26,35,Afternoon,Chilly
20,2011-01-01,Spring,2011,January,19,0,Saturday,0,3,17.22,21.21,88.0,16.997899999999998,6,31,37,Afternoon,Chilly
21,2011-01-01,Spring,2011,January,20,0,Saturday,0,2,16.400000000000002,20.455000000000002,87.0,16.997899999999998,11,25,36,Afternoon,Chilly
22,2011-01-01,Spring,2011,January,21,0,Saturday,0,2,16.400000000000002,20.455000000000002,87.0,12.998000000000001,3,31,34,Afternoon,Chilly
23,2011-01-01,Spring,2011,January,22,0,Saturday,0,2,16.400000000000002,20.455000000000002,94.0,15.001299999999999,11,17,28,Afternoon,Chilly
24,2011-01-01,Spring,2011,January,23,0,Saturday,0,2,18.86,22.725,88.0,19.999499999999998,15,24,39,Afternoon,Warm
25,2011-01-02,Spring,2011,January,0,0,Sunday,0,2,18.86,22.725,88.0,19.999499999999998,4,13,17,Evening,Warm
26,2011-01-02,Spring,2011,January,1,0,Sunday,0,2,18.04,21.97,94.0,16.997899999999998,1,16,17,Evening,Warm
27,2011-01-02,Spring,2011,January,2,0,Sunday,0,2,17.22,21.21,100.0,19.0012,1,8,9,Evening,Chilly
28,2011-01-02,Spring,2011,January,3,0,Sunday,0,2,18.86,22.725,94.0,12.998000000000001,2,4,6,Evening,Warm
29,2011-01-02,Spring,2011,January,4,0,Sunday,0,2,18.86,22.725,94.0,12.998000000000001,2,1,3,Evening,Warm
30,2011-01-02,Spring,2011,January,6,0,Sunday,0,3,17.22,21.21,77.0,19.999499999999998,0,2,2,Morning,Chilly
31,2011-01-02,Spring,2011,January,7,0,Sunday,0,2,16.400000000000002,20.455000000000002,76.0,12.998000000000001,0,1,1,Morning,Chilly
32,2011-01-02,Spring,2011,January,8,0,Sunday,0,3,16.400000000000002,20.455000000000002,71.0,15.001299999999999,0,8,8,Morning,Chilly
33,2011-01-02,Spring,2011,January,9,0,Sunday,0,2,15.58,19.695,76.0,15.001299999999999,1,19,20,Morning,Chilly
34,2011-01-02,Spring,2011,January,10,0,Sunday,0,2,14.76,17.424999999999997,81.0,15.001299999999999,7,46,53,Morning,Chilly
35,2011-01-02,Spring,2011,January,11,0,Sunday,0,2,14.76,16.665,71.0,16.997899999999998,16,54,70,Afternoon,Chilly
36,2011-01-02,Spring,2011,January,12,0,Sunday,0,2,14.76,16.665,66.0,19.999499999999998,20,73,93,Afternoon,Chilly
37,2011-01-02,Spring,2011,January,13,0,Sunday,0,2,14.76,17.424999999999997,66.0,8.9981,11,64,75,Afternoon,Chilly
38,2011-01-02,Spring,2011,January,14,0,Sunday,0,3,14.76,17.424999999999997,76.0,12.998000000000001,4,55,59,Afternoon,Chilly
39,2011-01-02,Spring,2011,January,15,0,Sunday,0,3,13.940000000000001,16.665,81.0,11.0014,19,55,74,Afternoon,Chilly
40,2011-01-02,Spring,2011,January,16,0,Sunday,0,3,13.940000000000001,16.665,71.0,11.0014,9,67,76,Afternoon,Chilly
41,2011-01-02,Spring,2011,January,17,0,Sunday,0,1,13.940000000000001,16.665,56.99999999999999,12.998000000000001,7,58,65,Afternoon,Chilly
42,2011-01-02,Spring,2011,January,18,0,Sunday,0,2,14.76,16.665,46.0,22.0028,10,43,53,Afternoon,Chilly
43,2011-01-02,Spring,2011,January,19,0,Sunday,0,1,13.120000000000001,14.395,42.0,30.002599999999997,1,29,30,Afternoon,Chilly
44,2011-01-02,Spring,2011,January,20,0,Sunday,0,1,12.299999999999999,13.635,39.0,23.9994,5,17,22,Afternoon,Chilly
45,2011-01-02,Spring,2011,January,21,0,Sunday,0,1,10.66,11.365,44.0,22.0028,11,20,31,Afternoon,Chilly
46,2011-01-02,Spring,2011,January,22,0,Sunday,0,1,9.84,10.605,44.0,19.999499999999998,0,9,9,Afternoon,Cold
47,2011-01-02,Spring,2011,January,23,0,Sunday,0,1,9.02,11.365,47.0,11.0014,0,8,8,Afternoon,Cold
48,2011-01-03,Spring,2011,January,0,0,Monday,1,1,9.02,9.85,44.0,23.9994,0,5,5,Evening,Cold
49,2011-01-03,Spring,2011,January,1,0,Monday,1,1,8.200000000000001,8.334999999999999,44.0,27.999299999999998,0,2,2,Evening,Cold
50,2011-01-03,Spring,2011,January,4,0,Monday,1,1,6.5600000000000005,6.819999999999999,47.0,26.0027,0,1,1,Evening,Cold
51,2011-01-03,Spring,2011,January,5,0,Monday,1,1,6.5600000000000005,6.819999999999999,47.0,19.0012,0,3,3,Morning,Cold
52,2011-01-03,Spring,2011,January,6,0,Monday,1,1,5.74,5.305,50.0,26.0027,0,30,30,Morning,Cold
53,2011-01-03,Spring,2011,January,7,0,Monday,1,1,5.74,6.819999999999999,50.0,12.998000000000001,1,63,64,Morning,Cold
54,2011-01-03,Spring,2011,January,8,0,Monday,1,1,5.74,6.0600000000000005,50.0,19.0012,1,153,154,Morning,Cold
55,2011-01-03,Spring,2011,January,9,0,Monday,1,1,6.5600000000000005,6.819999999999999,43.0,26.0027,7,81,88,Morning,Cold
56,2011-01-03,Spring,2011,January,10,0,Monday,1,1,7.38,8.334999999999999,43.0,16.997899999999998,11,33,44,Morning,Cold
57,2011-01-03,Spring,2011,January,11,0,Monday,1,1,8.200000000000001,9.09,40.0,22.0028,10,41,51,Afternoon,Cold
58,2011-01-03,Spring,2011,January,12,0,Monday,1,1,9.02,10.605,35.0,19.999499999999998,13,48,61,Afternoon,Cold
59,2011-01-03,Spring,2011,January,13,0,Monday,1,1,9.84,10.605,35.0,19.0012,8,53,61,Afternoon,Cold
60,2011-01-03,Spring,2011,January,14,0,Monday,1,1,10.66,12.120000000000001,30.0,19.0012,11,66,77,Afternoon,Chilly
61,2011-01-03,Spring,2011,January,15,0,Monday,1,1,10.66,12.120000000000001,30.0,16.997899999999998,14,58,72,Afternoon,Chilly
62,2011-01-03,Spring,2011,January,16,0,Monday,1,1,10.66,12.120000000000001,30.0,16.997899999999998,9,67,76,Afternoon,Chilly
63,2011-01-03,Spring,2011,January,17,0,Monday,1,1,9.84,11.365,30.0,15.001299999999999,11,146,157,Afternoon,Cold
64,2011-01-03,Spring,2011,January,18,0,Monday,1,1,9.84,12.879999999999999,32.0,7.0015,9,148,157,Afternoon,Cold
65,2011-01-03,Spring,2011,January,19,0,Monday,1,1,8.200000000000001,12.879999999999999,47.0,0.0,8,102,110,Afternoon,Cold
66,2011-01-03,Spring,2011,January,20,0,Monday,1,1,8.200000000000001,11.365,47.0,7.0015,3,49,52,Afternoon,Cold
67,2011-01-03,Spring,2011,January,21,0,Monday,1,1,7.38,9.85,64.0,8.9981,3,49,52,Afternoon,Cold
68,2011-01-03,Spring,2011,January,22,0,Monday,1,1,5.74,7.575,69.0,8.9981,0,20,20,Afternoon,Cold
69,2011-01-03,Spring,2011,January,23,0,Monday,1,1,7.38,10.605,55.00000000000001,7.0015,1,11,12,Afternoon,Cold
70,2011-01-04,Spring,2011,January,0,0,Tuesday,1,1,6.5600000000000005,9.09,55.00000000000001,7.0015,0,5,5,Evening,Cold
71,2011-01-04,Spring,2011,January,1,0,Tuesday,1,1,6.5600000000000005,9.09,59.0,7.0015,0,2,2,Evening,Cold
72,2011-01-04,Spring,2011,January,2,0,Tuesday,1,1,5.74,7.575,63.0,8.9981,0,1,1,Evening,Cold
73,2011-01-04,Spring,2011,January,4,0,Tuesday,1,1,5.74,9.09,63.0,6.0032,0,2,2,Evening,Cold
74,2011-01-04,Spring,2011,January,5,0,Tuesday,1,1,4.92,7.575,68.0,7.0015,0,4,4,Morning,Cold
75,2011-01-04,Spring,2011,January,6,0,Tuesday,1,1,4.92,7.575,74.0,7.0015,0,36,36,Morning,Cold
76,2011-01-04,Spring,2011,January,7,0,Tuesday,1,1,4.92,7.575,74.0,8.9981,2,92,94,Morning,Cold
77,2011-01-04,Spring,2011,January,8,0,Tuesday,1,1,5.74,7.575,69.0,11.0014,2,177,179,Morning,Cold
78,2011-01-04,Spring,2011,January,9,0,Tuesday,1,1,6.5600000000000005,7.575,64.0,15.001299999999999,2,98,100,Morning,Cold
79,2011-01-04,Spring,2011,January,10,0,Tuesday,1,2,6.5600000000000005,6.819999999999999,69.0,22.0028,5,37,42,Morning,Cold
80,2011-01-04,Spring,2011,January,11,0,Tuesday,1,1,9.02,10.605,51.0,19.999499999999998,7,50,57,Afternoon,Cold
81,2011-01-04,Spring,2011,January,12,0,Tuesday,1,1,9.02,11.365,51.0,11.0014,12,66,78,Afternoon,Cold
82,2011-01-04,Spring,2011,January,13,0,Tuesday,1,1,9.84,11.365,56.00000000000001,12.998000000000001,18,79,97,Afternoon,Cold
83,2011-01-04,Spring,2011,January,14,0,Tuesday,1,1,10.66,12.879999999999999,52.0,15.001299999999999,9,54,63,Afternoon,Chilly
84,2011-01-04,Spring,2011,January,15,0,Tuesday,1,1,11.48,13.635,52.0,16.997899999999998,17,48,65,Afternoon,Chilly
85,2011-01-04,Spring,2011,January,16,0,Tuesday,1,1,12.299999999999999,14.395,49.0,16.997899999999998,15,68,83,Afternoon,Chilly
86,2011-01-04,Spring,2011,January,17,0,Tuesday,1,1,11.48,13.635,48.0,15.001299999999999,10,202,212,Afternoon,Chilly
87,2011-01-04,Spring,2011,January,18,0,Tuesday,1,1,10.66,12.879999999999999,48.0,12.998000000000001,3,179,182,Afternoon,Chilly
88,2011-01-04,Spring,2011,January,19,0,Tuesday,1,1,9.84,12.879999999999999,48.0,7.0015,2,110,112,Afternoon,Cold
89,2011-01-04,Spring,2011,January,20,0,Tuesday,1,1,9.84,12.879999999999999,48.0,7.0015,1,53,54,Afternoon,Cold
90,2011-01-04,Spring,2011,January,21,0,Tuesday,1,1,9.02,13.635,64.0,0.0,0,48,48,Afternoon,Cold
91,2011-01-04,Spring,2011,January,22,0,Tuesday,1,1,9.02,12.879999999999999,64.0,6.0032,1,34,35,Afternoon,Cold
92,2011-01-04,Spring,2011,January,23,0,Tuesday,1,1,8.200000000000001,11.365,69.0,6.0032,2,9,11,Afternoon,Cold
93,2011-01-05,Spring,2011,January,0,0,Wednesday,1,1,8.200000000000001,12.879999999999999,64.0,0.0,0,6,6,Evening,Cold
94,2011-01-05,Spring,2011,January,1,0,Wednesday,1,1,6.5600000000000005,9.85,74.0,6.0032,0,6,6,Evening,Cold
95,2011-01-05,Spring,2011,January,2,0,Wednesday,1,1,6.5600000000000005,9.85,74.0,6.0032,0,2,2,Evening,Cold
96,2011-01-05,Spring,2011,January,4,0,Wednesday,1,1,9.84,11.365,48.0,15.001299999999999,0,2,2,Evening,Cold
97,2011-01-05,Spring,2011,January,5,0,Wednesday,1,1,9.02,11.365,47.0,11.0014,0,3,3,Morning,Cold
98,2011-01-05,Spring,2011,January,6,0,Wednesday,1,1,8.200000000000001,9.85,47.0,15.001299999999999,0,33,33,Morning,Cold
99,2011-01-05,Spring,2011,January,7,0,Wednesday,1,1,7.38,9.09,43.0,12.998000000000001,1,87,88,Morning,Cold
100,2011-01-05,Spring,2011,January,8,0,Wednesday,1,1,8.200000000000001,9.09,40.0,19.999499999999998,3,192,195,Morning,Cold
101,2011-01-05,Spring,2011,January,9,0,Wednesday,1,1,9.02,9.85,37.0,22.0028,6,109,115,Morning,Cold
102,2011-01-05,Spring,2011,January,10,0,Wednesday,1,1,9.02,9.85,37.0,22.0028,4,53,57,Morning,Cold
103,2011-01-05,Spring,2011,January,11,0,Wednesday,1,1,10.66,11.365,33.0,22.0028,12,34,46,Afternoon,Chilly
104,2011-01-05,Spring,2011,January,12,0,Wednesday,1,1,10.66,11.365,33.0,22.0028,5,74,79,Afternoon,Chilly
105,2011-01-05,Spring,2011,January,13,0,Wednesday,1,1,11.48,12.879999999999999,30.0,19.999499999999998,6,65,71,Afternoon,Chilly
106,2011-01-05,Spring,2011,January,14,0,Wednesday,1,1,12.299999999999999,14.395,28.000000000000004,12.998000000000001,10,52,62,Afternoon,Chilly
107,2011-01-05,Spring,2011,January,15,0,Wednesday,1,1,12.299999999999999,14.395,28.000000000000004,12.998000000000001,7,55,62,Afternoon,Chilly
108,2011-01-05,Spring,2011,January,16,0,Wednesday,1,1,12.299999999999999,15.909999999999998,28.000000000000004,6.0032,4,85,89,Afternoon,Chilly
109,2011-01-05,Spring,2011,January,17,0,Wednesday,1,1,9.84,11.365,38.0,12.998000000000001,4,186,190,Afternoon,Cold
110,2011-01-05,Spring,2011,January,18,0,Wednesday,1,1,9.84,12.120000000000001,38.0,8.9981,3,166,169,Afternoon,Cold
111,2011-01-05,Spring,2011,January,19,0,Wednesday,1,1,9.84,12.879999999999999,38.0,7.0015,5,127,132,Afternoon,Cold
112,2011-01-05,Spring,2011,January,20,0,Wednesday,1,1,9.02,11.365,47.0,11.0014,7,82,89,Afternoon,Cold
113,2011-01-05,Spring,2011,January,21,0,Wednesday,1,1,8.200000000000001,9.85,51.0,12.998000000000001,3,40,43,Afternoon,Cold
114,2011-01-05,Spring,2011,January,22,0,Wednesday,1,1,7.38,9.85,55.00000000000001,8.9981,1,41,42,Afternoon,Cold
115,2011-01-05,Spring,2011,January,23,0,Wednesday,1,1,8.200000000000001,12.879999999999999,47.0,0.0,1,18,19,Afternoon,Cold
116,2011-01-06,Spring,2011,January,0,0,Thursday,1,1,7.38,12.120000000000001,55.00000000000001,0.0,0,11,11,Evening,Cold
117,2011-01-06,Spring,2011,January,1,0,Thursday,1,1,6.5600000000000005,11.365,64.0,0.0,0,4,4,Evening,Cold
118,2011-01-06,Spring,2011,January,2,0,Thursday,1,1,6.5600000000000005,11.365,64.0,0.0,0,2,2,Evening,Cold
119,2011-01-06,Spring,2011,January,4,0,Thursday,1,2,6.5600000000000005,9.85,64.0,6.0032,0,1,1,Evening,Cold
120,2011-01-06,Spring,2011,January,5,0,Thursday,1,2,5.74,9.09,69.0,6.0032,0,4,4,Morning,Cold
121,2011-01-06,Spring,2011,January,6,0,Thursday,1,2,5.74,8.334999999999999,63.0,7.0015,0,36,36,Morning,Cold
122,2011-01-06,Spring,2011,January,7,0,Thursday,1,2,6.5600000000000005,11.365,59.0,0.0,0,95,95,Morning,Cold
123,2011-01-06,Spring,2011,January,8,0,Thursday,1,1,6.5600000000000005,11.365,59.0,0.0,3,216,219,Morning,Cold
124,2011-01-06,Spring,2011,January,9,0,Thursday,1,2,7.38,12.120000000000001,51.0,0.0,6,116,122,Morning,Cold
125,2011-01-06,Spring,2011,January,10,0,Thursday,1,1,8.200000000000001,12.879999999999999,47.0,0.0,3,42,45,Morning,Cold
126,2011-01-06,Spring,2011,January,11,0,Thursday,1,1,9.02,12.879999999999999,44.0,6.0032,2,57,59,Afternoon,Cold
127,2011-01-06,Spring,2011,January,12,0,Thursday,1,1,10.66,14.395,35.0,0.0,6,78,84,Afternoon,Chilly
128,2011-01-06,Spring,2011,January,13,0,Thursday,1,1,10.66,13.635,35.0,7.0015,12,55,67,Afternoon,Chilly
129,2011-01-06,Spring,2011,January,14,0,Thursday,1,1,11.48,13.635,36.0,11.0014,11,59,70,Afternoon,Chilly
130,2011-01-06,Spring,2011,January,15,0,Thursday,1,1,11.48,13.635,36.0,0.0,8,54,62,Afternoon,Chilly
131,2011-01-06,Spring,2011,January,16,0,Thursday,1,1,10.66,12.879999999999999,38.0,11.0014,12,74,86,Afternoon,Chilly
132,2011-01-06,Spring,2011,January,17,0,Thursday,1,1,9.02,11.365,51.0,11.0014,9,163,172,Afternoon,Cold
133,2011-01-06,Spring,2011,January,18,0,Thursday,1,1,9.02,11.365,51.0,8.9981,5,158,163,Afternoon,Cold
134,2011-01-06,Spring,2011,January,19,0,Thursday,1,1,9.02,12.879999999999999,55.00000000000001,6.0032,3,109,112,Afternoon,Cold
135,2011-01-06,Spring,2011,January,20,0,Thursday,1,1,8.200000000000001,10.605,51.0,11.0014,3,66,69,Afternoon,Cold
136,2011-01-06,Spring,2011,January,21,0,Thursday,1,2,9.02,10.605,55.00000000000001,15.001299999999999,0,48,48,Afternoon,Cold
137,2011-01-06,Spring,2011,January,22,0,Thursday,1,2,9.02,10.605,51.0,19.0012,1,51,52,Afternoon,Cold
138,2011-01-06,Spring,2011,January,23,0,Thursday,1,2,8.200000000000001,9.85,59.0,12.998000000000001,4,19,23,Afternoon,Cold
139,2011-01-07,Spring,2011,January,0,0,Friday,1,2,8.200000000000001,9.85,64.0,12.998000000000001,4,13,17,Evening,Cold
140,2011-01-07,Spring,2011,January,1,0,Friday,1,2,8.200000000000001,9.85,69.0,15.001299999999999,2,5,7,Evening,Cold
141,2011-01-07,Spring,2011,January,2,0,Friday,1,2,8.200000000000001,9.85,69.0,15.001299999999999,0,1,1,Evening,Cold
142,2011-01-07,Spring,2011,January,4,0,Friday,1,2,8.200000000000001,10.605,69.0,8.9981,0,1,1,Evening,Cold
143,2011-01-07,Spring,2011,January,5,0,Friday,1,3,9.02,13.635,55.00000000000001,0.0,0,5,5,Morning,Cold
144,2011-01-07,Spring,2011,January,6,0,Friday,1,2,8.200000000000001,12.879999999999999,69.0,0.0,8,26,34,Morning,Cold
145,2011-01-07,Spring,2011,January,7,0,Friday,1,1,8.200000000000001,10.605,69.0,8.9981,8,76,84,Morning,Cold
146,2011-01-07,Spring,2011,January,8,0,Friday,1,1,8.200000000000001,9.85,51.0,16.997899999999998,20,190,210,Morning,Cold
147,2011-01-07,Spring,2011,January,9,0,Friday,1,1,8.200000000000001,9.09,47.0,19.999499999999998,9,125,134,Morning,Cold
148,2011-01-07,Spring,2011,January,10,0,Friday,1,1,9.02,9.85,37.0,22.0028,16,47,63,Morning,Cold
